1,мальчик под столом стоит,устулукьи зуди вугъий мочiи,кьи,SUB,ESS,-
2,мальчик под столом стоит,вошо устулукьи зуди вугъий,кьи,SUB,ESS,-
3,мальчик под столом стоит,устулукьи вугъий,кьи,SUB,ESS,-
4,мальчик из-под стола вылез,устулукьикку лъиби мочiи,кьи-кку,SUB,ELAT,-
5,мальчик из-под стола вылез,вошо устулулъи хикьукку вулъи,кьи-кку,SUB,ELAT,хикьу
6,мальчик из-под стола вылез,мальчик устулукьикку вулъи,кьи-кку,SUB,ELAT,-
7,мальчик от меня под стол уполз,дичiу кодуку лъиби устулукьи,кьи,SUB,LAT,-
8,мальчик от меня под стол уполз,дичуку мочи устулукьи вуон,кьи,SUB,LAT,-
9,мальчик от меня под стол уполз,мальчик вуон устулукьи курщищой,кьи,SUB,LAT,-
10,мальчик под столом пролез,устулукьику вулъи,кьи-кку,SUB,ELAT,-
11,мальчик под столом пролез,мочи устулулъи хикьуку вуон,кьи-кку,SUB,ELAT,хикьу
12,на столе стоит тарелка,устулуа тарелка,а,SUPER,ESS,-
13,на столе стоит тарелка,устулуа гьиъа тарелка,а,SUPER,ESS,-
14,на столе стоит тарелка,устулуа тарелка,а,SUPER,ESS,-
15,мать поставилa на стол хинкал,бабади бикiолъи тарелка устулуа,а,SUPER,ESS,-
16,мать поставилa на стол хинкал,бабади хинкiилол устулуа бокъолъи,а,SUPER,ESS,-
17,мать поставилa на стол хинкал,бабади устулуа боколъи хинк!илол,а,SUPER,ESS,-
18,мать убрала хинкал со стола,бабади бухи тарелка устулуакку,а-кку,SUPER,ELAT,-
19,мать убрала хинкал со стола,бабади хинкилол устулуакку буху,а-кку,SUPER,ELAT,-
20,мать убрала хинкал со стола,мочишди бохий устулуакку хинкилол,а-кку,SUPER,ELAT,-
21,тарелка упала вниз со стола и разбилась,устулуакку букуй бихъин тарелка,а-кку,SUPER,ELAT,-
22,тарелка упала вниз со стола и разбилась,устулуакку рукуй тарелка рихьи,а-кку,SUPER,ELAT,-
23,тарелка упала вниз со стола и разбилась,тарелка букуй устулуакку гьикъу,а-кку,SUPER,ELAT,-
24,птица взлетела с дерева,решуакку бури шекиб,а-кку,SUPER,ELAT,-
25,птица взлетела с дерева,шекибэ решуакку бури,а-кку,SUPER,ELAT,-
26,птица взлетела с дерева,шекиб бури решуакку,а-кку,SUPER,ELAT,-
27,расул залез на крышу,вохон чердакуо,о,SUPER,LAT,-
28,расул залез на крышу,расул омъо вохон,о,SUPER,LAT,-
29,расул залез на крышу,русул вохонний ом!о\чердакуо,о,SUPER,LAT,-
30,расул залез на камень,гьинцiол-о вохон,о,SUPER,LAT,-
31,расул залез на камень,расул гьинцол-о вохон,о,SUPER,LAT,-
32,расул залез на камень,гьинцiол-о вохон,о,SUPER,LAT,-
33,расул перелез через камень,гьинцiол-акку лъиби,а-кку,SUPER,ELAT,-
34,расул перелез через камень,расул гьинцол-а хиакку худуа вутлъи,а,SUPER,ESS,-
35,расул перелез через камень,расул гьинцiол-акку,а-кку,SUPER,ELAT,-
36,я посмотрел на стол,ден гьалчiон устулуо,о,SUPER,LAT,-
37,я посмотрел на стол,ден устулуо гьалчон,о,SUPER,LAT,-
38,я посмотрел на стол,ден гьалчiон устулуо,о,SUPER,LAT,-
39,книга упала со стола,хуча руку устулуакку,а-кку,SUPER,ELAT,-
40,книга упала со стола,хуча руку устулуакку,а-кку,SUPER,ELAT,-
41,книга упала со стола,хуча руку устулуакку,а-кку,SUPER,ELAT,-
42,яблоко упало с дерева,инчи буку решуакку,а-кку,SUPER,ELAT,-
43,яблоко упало с дерева,решуакку инчи буку,а-кку,SUPER,ELAT,-
44,яблоко упало с дерева,инчи буку решуакку,а-кку,SUPER,ELAT,-
45,суп в кастрюле,чорпалъи хаги,лIи,IN,GEN,-
46,суп в кастрюле,хагила чорпа,ла,IN,ESS,-
47,суп в кастрюле,хагила чорпа\чорпалъи хаги,ла,IN,ESS,-
48,мать суп в кастрюлю налила,бабади чорпа хагиди тiини,ди,IN,LAT,-
49,мать суп в кастрюлю налила,бабади чорпа хагиди тiини,ди,IN,LAT,-
50,мать суп в кастрюлю налила,бабади чорпа хагиди тiини,ди,IN,LAT,-
51,мать суп из кастрюли вылила,бабади чорпа гьербади тiини,ди,IN,LAT,-
52,мать суп из кастрюли вылила,бабади чорпа хагилакку херади тiини,ла-кку,IN,ELAT,-
53,мать суп из кастрюли вылила,бабади чорпа хагилакку хербади тiини,ла-кку,IN,ELAT,-
54,муса прошел через комнату,гьакъула велъо,ла,IN,ESS,-
55,муса прошел через комнату,муса хахъула орива вуон,ла,IN,ESS,-
56,муса прошел через комнату,саиди вуон гьакъулакку,ла-кку,IN,ELAT,-
57,рыба в реке,хвами лъенлъи,лъи,INTER,ESS,-
58,рыба в реке,лъенлiи хвами,лъи,INTER,ESS,-
59,рыба в реке,лъенсолъи хвани,лъи,INTER,ESS,-
60,в воду не заходиi,лъенлъи вулъесхъо,лъи,INTER,LAT,-
61,в воду не заходиi,лъенлiи вулiеско,лъи,INTER,LAT,-
62,в воду не заходиi,лъенлъи вулъесхъо,лъи,INTER,LAT,-
63,из воды показалась змея,лъенлъикку берка бухи,лъи-кку,INTER,ELAT,-
64,из воды показалась змея,лъенлiикку берка бухи,лъи-кку,INTER,ELAT,-
65,из воды показалась змея,лъенлъикку берка бухи,лъи-кку,INTER,ELAT,-
66,я стою перед домом,милкилчiу седу йигъий,чIу,AD2,ESS,-
67,я стою перед домом,ден милкилчiу сэдо зуди вугъий,чIу,AD2,ESS,-
68,я стою перед домом,ден милкилчiу сэдо (вперед) вугъий,чIу,AD2,ESS,-
69,от меня,дихакку вуон зиву,ха-кку,AD,ELAT,-
70,от меня,дич!у лъеру-кку,чIу-кку,AD2,ELAT,лъеру
71,я стою за домом,милкилчiу ехудия йигъий,чIу,AD2,ESS,-
72,я стою за домом,ден милкилчiу вехудива вугъий,чIу,AD2,ESS,-
73,я стою за домом,ден милкилчiу вехудива вугъий,чIу,AD2,ESS,-
74,я стою за стеной,ден къеночiу вехудива вугъий,чIу,AD2,ESS,-
75,я стою за стеной,ден къеночiу вехудива вугъий,чIу,AD2,ESS,-
76,я иду к школе,ден ушкулухо йиинне,хо,AD,LAT,-
77,я иду к школе,ден ушкулу!о вуинне,о,SUPER,LAT,-
78,я повернулся к школе,ден ушкулуо сори,о,SUPER,LAT,-
79,я повернулся к школе,ден ушкулухо сори\ушкулу!о сорий,хо,AD,LAT,-
80,я повернулся к морю,ден релъохо сори,хо,AD,LAT,-
81,я повернулся к морю,ден релъо!о сорий,о,SUPER,LAT,-
82,я отошел от школы,ден укулуъакку вуон,а-кку,SUPER,ELAT,-
83,я отошел от школы,ден укулуъакку херйади онлъи,а-кку,SUPER,ELAT,-
84,я отошел от школы,ден укулуъакку вулъий,а-кку,SUPER,ELAT,-
85,я прошел мимо школы,ушкулухакку вуон,ха-кку,AD,ELAT,-
86,я прошел мимо школы,ден ушкулуъчiу лъерукку йион,чIу-кку,AD2,ELAT,лъеру
87,я прошел мимо школы,ден ушкулучiу лъерукку(=мимо) вуон,чIу-кку,AD2,ELAT,лъеру
88,я стою у школы,ушкулуха вугъий,ха,AD,ESS,-
89,я стою у школы,ден ушкулучiу лъеру вурий,чIу,AD2,ESS,лъеру
90,я стою у школы,ушкулучiу лъеру вугьий,чIу,AD2,ESS,лъеру
91,гости сидят за столом,цiел устулучiу вехудивол гьовокiой,чIу,AD2,ESS,-
92,гости сидят за столом,ц!ел устулучiу вехудивол,чIу,AD2,ESS,-
93,постели мне матрас у стены,къеноха ,ха,AD,ESS,-
94,постели мне матрас у стены,дилъу къен \къено-ха бешен т!амо,ха,AD,ESS,-
95,я матрас у стены постелил,денни къенночiу лъеру бешен т!амми,чIу,AD2,ESS,лъеру
96,я шкаф у стены поставил,къеноха бикiолъи(поставила),ха,AD,ESS,-
97,я шкаф у стены поставил,денни ишкапиль къен хелъоро биколъи,лъи,INTER,LAT,-
98,я шкаф у стены поставил,денни къенноч!у лъеру биколъи ишкапиль,чIу,AD2,ESS,лъеру
99,я убрал шкаф от стены,къенохакку бухи,ха-кку,AD,ELAT,-
100,я убрал шкаф от стены,денни къеночiу къеруку ишкапиль бухи,чIу-кку,AD2,ELAT,лъеру
101,я убрал шкаф от стены,денни бухи ишкафи къеноч!у къерукку,чIу-кку,AD2,ELAT,лъеру
102,я сижу за столом,ден устулучiу ехудийа хойкiой,чIу,AD2,ESS,-
103,я сижу за столом,ден устулуч!у вехудива ховк!ой(сижу),чIу,AD2,ESS,-
104,шкаф у стены,къеноха,ха,AD,ESS,-
105,шкаф у стены,къеночiу къеру ишкапиль,чIу,AD2,ESS,лъеру
106,шкаф у стены,где шкаф – вон там у стены – къеноха,ха,AD,ESS,лъеру
107,картина висит на стене\,къено-а,а,SUPER,ESS,-
108,картина висит на стене\,сурати къеноъа гелгедир,а,SUPER,ESS,-
109,картина висит на стене\,сурати гелгедир къено!а,а,SUPER,ESS,-
110,муха сидит под потолком,эркъалкьи гьобкiой тiентiа,кьи,SUB,ESS,-
111,муха сидит на потолке,тента омъа хобкiой,а,SUPER,ESS,-
112,муха сидит под потолком,т!ент!а гьобк!ой эркъакьи,кьи,SUB,ESS,-
113,у нее красивое кольцо на пальце,цiекiуа цiекiалъол,а,SUPER,ESS,-
114,у нее красивое кольцо на пальце,гьегельлъи баху цiекiалъол цикуъа,а,SUPER,ESS,-
115,у нее красивое кольцо на пальце,гьегельлъи баху цiекiалъол,лъи,INTER,ESS,-
116,у него крылья на спине,гьегешуб мигъулоа лъирдобил,а,SUPER,ESS,-
117,у него крылья на спине,гьегешуб мигъулоа лъирдобил,а,SUPER,ESS,-
118,пальто висит на стене,кьено1а палто кельгедир,а,SUPER,ESS,-
119,отойди от меняi,гьудуйа онлъий дич!у,чIу,AD2,ESS,-
120,под столом мальчик стоит,моч!и устулулъи,лъи,INTER,ESS,-
121,убежал от меня под стол,дичукку устулулъи вучу ,лъи,INTER,LAT,-
122,ко мне выбежал мальчик из-под стола,дихо вучунивуо моч!и устулулъикку,лъи-кку,INTER,ELAT,-
123,на столе тарелка,устулу-а тарелка,а,SUPER,ESS,-
124,взять тарелку со стола,тарелка вехери устулуакку,а-кку,SUPER,ELAT,-
125,поставь тарелку на стол,устулу-а бик!оло тарелка,а,SUPER,?,-
126,на стол тарелка упала,устулу-о букку тарелка,о,SUPER,LAT,-
127,девочка щалезла на крышу,моч!и чердаку-о йохон,о,SUPER,LAT,-
128,девочка с чердака слезла вниз,моч!и чердаку-а-ку улъи хилъу,а-кку,SUPER,ELAT,-
129,ложка в кастрюле,арко хагиля,а,SUPER,ESS,-
130,мама в кастрюлю внутрь суп налила,бабади хагиди гьини чорпа т!ини,ди,IN,LAT,-
131,мама суп из кастрюли вылила,бабади хагилаку чорпа т!ини,а-кку,SUPER,ELAT,-
132,рыба в реке,лъенлъи илъу хвани,лъи,INTER,ESS,илъу
133,река внутри (из-под воды) змея видно,лъенлъи илъукку бурка хаор,лъи-кку,INTER,ELAT,илъу
134,я стою перед домом,ден зуди ири милкилч!у седу,чIу,AD2,ESS,-
135,я стою за домом,ден милкич!у йегьудийа зуди йери,чIу,AD2,ESS,-
136,у стены шкаф,къенока шипанер,а,SUPER,ESS,-
